uniprot.id	protein.names	Protein.IDs	Gene.names.SINGLE	logP	q.value
B4DQ48	Eukaryotic translation initiation factor 3 subunit K	B4DQ48;K7EK53;K7EQM4;A0A087WVB9;Q9UBQ5-2;Q9UBQ5	EIF3K	1.61986748	0.06416458
A0A087WVM2	CD177 antigen	A0A087WVM2;Q8N6Q3;Q8N6Q3-2	CD177	2.051023914	0.028657453
A0A087WWC6	T-cell receptor alpha chain C region	A0A087WWC6;P01848	TRAC	4.019148919	0.000757588
K7EJ99	TAR DNA-binding protein 43	K7EJ99;A0A0A0MSV7;K7EJM5;A0A087WX29;A0A1W2PNU8;K7EN94;B1AKP7;G3V162;A0A087X260;A0A087WYY0;Q13148	TARDBP	3.375729975	0.002465015
Q99996	A-kinase anchor protein 9	A0A087WX84;A0A0A0MRE9;A0A0A0MRF6;Q99996-4;Q99996-5;Q99996-3;Q99996-2;Q99996;Q99996-6	AKAP9	5.010336943	0.000113746
C9J6X0	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	C9J6X0;A0A087WXC5;E7ESZ7;O95299;O95299-2;H7C2W5;H7C1Y7;H7C2X4;Q8N1B9	NDUFA10	3.885385952	0.000944605
A0A087WXR5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	A0A087WXR5;A0A087X1G1;H7BYD0;Q16718-2;Q16718	NDUFA5	7.068992072	2.99e-06
A0A087WY36		A0A087WY36;A8MYJ1	AKAP13	7.18644343	2.49e-06
A0A087WY55	Vacuolar protein sorting-associated protein VTA1 homolog	A0A087WY55;Q9NP79;Q5TGM0;Q9NP79-2	VTA1	5.313043722	6.81e-05
Q14980	Nuclear mitotic apparatus protein 1	A0A087WY61;Q14980-5;Q14980-4;Q14980-3;Q14980-2;Q14980;K4DIE0;F5H6Y5;F5H4J1;H0YFY6	NUMA1	2.548597872	0.011266678
A0A087WY71	AP-2 complex subunit mu	A0A087WY71;E9PFW3;Q96CW1-2;Q96CW1;C9JJ47;C9JTK4;C9JGT8;C9JJD3;C9JPV8;H7C4C3	AP2M1	2.763812886	0.00743335
A0A087WYB4	Stomatin-like protein 2, mitochondrial	A0A087WYB4;Q9UJZ1-2;Q9UJZ1;F2Z2I8	STOML2	1.780126419	0.047653441
A0A087WYM5	Protein TALPID3	A0A087WYM5;Q9BVV6-4;Q9BVV6;Q9BVV6-3	KIAA0586	4.528482222	0.00028686
A0A087WYR3	Tumor protein D54	A0A087WYR3;O43399-2;O43399-4;O43399;O43399-3;O43399-5;O43399-7;A0A087WZ51;O43399-6	TPD52L2	0.064753485	0.918660563
D6RJI3	Fibrillin-2	D6RJI3;A0A087WYV8;P35556-2;P35556	FBN2	0.401615688	0.535404859
J3QR89	Coiled-coil domain-containing protein 47	J3QR89;A0A087WYW6;Q96A33-2;Q96A33	CCDC47	3.198233964	0.003363426
C9JUT4	Lipoma-preferred partner	C9JUT4;A0A087WZF1;Q93052;C9JE51;C9J2R5;C9JIY7;C9JT42;C9J3U9;C9J1K7;C9J5C8;C9J4E3;C9JXK9	LPP	1.65307515	0.060598006
A0A087WZR4	Low affinity immunoglobulin gamma Fc region receptor III-B	A0A087WZR4;H0Y4U3;M9MML6;O75015;E9PNY5;A0A087WU90	FCGR3B	5.458970935	5.15e-05
A0A087X054	Hypoxia up-regulated protein 1	A0A087X054;Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2;Q9Y4L1-2	HYOU1	5.189539928	8.41e-05
A0A087X0S5	Collagen alpha-1(VI) chain	A0A087X0S5;P12109	COL6A1	0.929822214	0.219749945
A0A087X1S7	CD48 antigen	A0A087X1S7;P09326;P09326-2	CD48	0.703826282	0.328918949
A0A087X296	Prostaglandin G/H synthase 1	A0A087X296;P23219-3;P23219-2;P23219;P23219-6;P23219-5;P23219-4;X6RJD6	PTGS1	2.233166607	0.020589832
A0A087X2I1	26S protease regulatory subunit 10B	A0A087X2I1;P62333;H0YJC0;H0YJX2;H0YJS8	PSMC6	2.353284536	0.016308733
P0DPI2	ES1 protein homolog, mitochondrial	A0A0B4J2H4;H7C1F6;A0A0B4J2D5;A0A096LPI6;P30042-2;P30042;A0A096LNJ1;A0A096LP73;A0A096LNH5;H7C2G3;F2Z2Q0;A0A096LP12	C21orf33	5.866299824	2.55e-05
Q02094	Ammonium transporter Rh type A	A0A0A0MQS8;Q02094;A0A087WZZ4;Q02094-2	RHAG	2.206202781	0.021540535
A0A0A0MRJ7	Coagulation factor V;Coagulation factor V heavy chain;Coagulation factor V light chain	A0A0A0MRJ7;P12259	F5	1.352147673	0.103239575
A0A0A0MRM8	Unconventional myosin-VI	A0A0A0MRM8;A0A0D9SGC1;E7EW20;Q9UM54-5;Q9UM54-2;Q9UM54-6;Q9UM54-4;Q9UM54-1;Q9UM54	MYO6	5.236593918	7.82e-05
A0A0A0MSE2	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	A0A0A0MSE2;A0A0D9SFP2;E9PF18;Q16836;Q16836-3;Q16836-2;A0A1W2PNM1;A0A1W2PQV5;A0A1W2PQC2;A0A1W2PQ78;A0A1W2PRT2;A0A1W2PQ55;A0A1W2PP40	HADH	3.337970293	0.002621495
X6R433	Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase C	X6R433;A0A0A0MT22;P08575-2;P08575;M3ZCP1;A0A075B788;E9PKH0;A0A140TA77;A0A140TA68;A0A0G2JNW2;A0A140TA57;M9MMK9	PTPRC	3.173199667	0.003501748
H7C4G6	Isovaleryl-CoA dehydrogenase, mitochondrial	H7C4G6;A0A0A0MT83;P26440-2;P26440;H0YN10;A0A087WVD3;H0YLC3	IVD	3.797685591	0.001133403
P21266	Glutathione S-transferase Mu 3	A0A0A0MTN3;P21266	GSTM3	5.136208104	8.93e-05
A0A2R8Y6C7	Glucose-6-phosphate isomerase	A0A0A0MTS2;P06744;P06744-2;K7EQ48;A0A0J9YXP8;A0A0J9YYH3;A0A0J9YX90;K7EPY4;K7EP41;CON__Q3ZBD7;K7ELR7;K7ENA0;K7ERC6;K7ERK8;K7EIL4;K7ESF4;Q8N196	GPI	3.787872657	0.001154793
A0A0A0MTS7	Titin	A0A0A0MTS7;Q8WZ42-5;Q8WZ42-11;Q8WZ42-4;Q8WZ42-7;Q8WZ42-2;Q8WZ42;Q8WZ42-8;Q8WZ42-13;Q8WZ42-12;A0A0A0MRA3;Q8WZ42-3;Q8WZ42-10;Q8WZ42-9	TTN	0.811813828	0.272794092
A0A0A6YYL4	Coronin;Coronin-7	A0A0A6YYL4;P57737-4;P57737;P57737-3;P57737-2;I3L167;E7EP81;I3L351;I3L0X8;I3L212;I3L426	CORO7-PAM16	5.507133831	4.68e-05
Q5W0H4	Translationally-controlled tumor protein	Q5W0H4;A0A0B4J2C3;P13693	TPT1	0.161075348	0.790880196
P0DP09		P0DP09;A0A0B4J2D9	IGKV1D-13	5.167857292	8.65e-05
Q96D31	Calcium release-activated calcium channel protein 1	A0A0B4J2E8;Q96D31-2;Q96D31	ORAI1	0.554828556	0.418083187
O75069	Transmembrane and coiled-coil domains protein 2	G5E963;A0A1B0GUZ3;A0A0C4DFR1;O75069-3;O75069-5;O75069-2;O75069;O75069-4	TMCC2	3.996116879	0.000785194
E7EQD7	Disks large homolog 1	E7EQD7;A0A0C4DFT3;Q12959-5;Q12959-3;Q12959-6;Q12959-4;Q12959;Q12959-7;Q12959-2;C9JUA9;C9JN61;C9JCP6;A8MUT6;B4E2H8;Q12959-8;Q12959-9	DLG1	1.948107932	0.035078915
P04179	Superoxide dismutase;Superoxide dismutase [Mn], mitochondrial	A0A0C4DFU2;P04179;P04179-4;F5H4R2;A0A0C4DFU1;F5GYZ5;P04179-2;F5H3C5;A0A0C4DG56;P04179-3;G8JLJ2;G5E9P6;F5GXZ9	SOD2	2.883090014	0.005914457
A0A0C4DFY0	P-selectin glycoprotein ligand 1	A0A0C4DFY0;Q14242;Q14242-2	SELPLG	1.300613346	0.112654379
A0A0C4DGI3	Citrate synthase;Citrate synthase, mitochondrial	A0A0C4DGI3;B4DJV2;O75390;H0YIC4;F8VPF9;F8VPA1;F8W1S4;H0YH82;F8VRP1;F8VX68;F8VRI6;F8VZK9;F8VX07;F8W4S1;F8W642;F8VWQ5;F8VR34;F8VTT8	CS	3.489739811	0.002005501
A0A0C4DGX8	V-type proton ATPase subunit S1	A0A0C4DGX8;Q15904;A6NLC6	ATP6AP1	5.726496286	3.29e-05
A0A0C4DH67		A0A0C4DH67;A0A0C4DH69	IGKV1-8	0.474998437	0.475428106
A0A0C4DH72	Ig kappa chain V-I region Gal	A0A0C4DH72;P01599;A0A0C4DH24;A0A075B6S4	IGKV1-6	1.332820927	0.106310449
A0A0C4DH73	Ig kappa chain V-I region Wes;Ig kappa chain V-I region HK101	A0A0C4DH73;P01611;P01601	IGKV1-12	2.895470705	0.005791342
M0R2J0	Cytohesin-1;Cytohesin-2;Cytohesin-3	M0R2J0;K7ENQ8;G5E9B7;A0A0D9SFG6;Q15438-3;Q15438-2;Q15438;Q99418-2;O43739-2;Q99418;O43739	CYTH2	0.610281117	0.382506095
Q02218	2-oxoglutarate dehydrogenase, mitochondrial	A0A0D9SFS3;E9PCR7;Q02218;E9PDF2;Q02218-2;E9PFG7;Q02218-3;C9J4G7;Q9ULD0;Q9ULD0-3;Q9ULD0-2	OGDH	6.730628915	5.29e-06
A0A0D9SGF6	Spectrin alpha chain, non-erythrocytic 1	A0A0D9SGF6;Q13813-2;A0A0D9SF54;A0A0D9SFF6;A0A1B0GV13;A0A1B0GTB7;A0A1B0GUH3;A0A0D9SFH4	SPTAN1	1.199195754	0.135423884
A0A0G2JJD3	Abhydrolase domain-containing protein 16A	A0A0G2JJD3;O95870;O95870-2;F2Z3H2;A0A0G2JI89	ABHD16A	5.485993362	4.87e-05
C9K0U8	Single-stranded DNA-binding protein, mitochondrial	C9K0U8;A0A0G2JLD8;E7EUY5;Q04837	SSBP1	4.061110995	0.000699988
A0A0G2JNH4	Immunoglobulin alpha Fc receptor	A0A0G2JNH4;A0A0G2JLU6;P24071-10;P24071;A0A0G2JP11;A0A0G2JNS3;A0A0G2JM27;A0A0G2JPZ4;P24071-5;P24071-4;P24071-11;P24071-2;P24071-6;A0A0G2JPZ0;A0A0G2JM28;A0A0G2JPP7;P24071-7;P24071-9;P24071-3;A0A0G2JM53	FCAR	5.217902258	8.07e-05
A0A0G2JNK8	Leukocyte-associated immunoglobulin-like receptor 1	A0A0G2JNK8;A0A0G2JMI0;A0A0G2JNU6;A0A140T8W3;A0A0G2JQ50;A0A0G2JP18;A0A0G2JLV7;Q6GTX8-3;Q6GTX8-2;Q6GTX8;A0A0G2JM94;A8MZ84;D3YTC8;Q6GTX8-4	LAIR1	3.974887529	0.000810673
A0A0G2JNT8	Leukocyte immunoglobulin-like receptor subfamily B member 2	A0A0G2JNT8;A0A0G2JNQ7;A0A0G2JN35;A0A0G2JPH5;Q8N423-2;Q8N423;A0A0G2JNE7;A0A0G2JNH0;Q8N423-4;Q8N423-3;H7C0C3;A0A0G2JM05;A0A0G2JLS7;A0A0G2JP96;A8MVE2;A0A0G2JQ46;A0A0B4J1W1;D9IDM6;D9IDM5;A0A0G2JQ44;A0A087WSX8;A0A0G2JP80;A0A0G2JNQ6;A0A087WSV6;A0A0G2JNM2;A0A0G2JQ15;A0A0G2JP64;A0A0G2JLS4;F6TER3;O75019;Q8NHL6;Q8NHL6-4;Q8NHL6-2;Q8NHL6-3	LILRB2	4.217494344	0.000518127
A0A0G2JQ25	Leukocyte immunoglobulin-like receptor subfamily A member 6;Leukocyte immunoglobulin-like receptor subfamily B member 3	A0A0G2JQ25;A0A0G2JPW1;A0A0G2JPR9;B5ME96;A0A0G2JQ26;A0A0G2JPY1;A0A0G2JPA2;A0A0G2JMN6;A0A0G2JQ24;A0A0G2JLT7;A0A0G2JNB3;A0A0G2JM46;F8W6G6;A0A0G2JN67;A0A0G2JMM1;A0A0G2JMZ3;Q6PI73;O75022;O75022-3;O75022-2;A0A0G2JPW2;A0A0G2JN36;A0A0G2JMX0;A0A0G2JLX6;A0A0G2JPG2;U5XJZ2;A0A0G2JN43;A0A0G2JPK5;A0A0G2JN08;A0A075B7A5;A0A0G2JNG2;P59901-2;P59901;F8WD89;A0A0G2JPN1;A0A0G2JNW3;A0A0G2JLU2;A0A0G2JPI7;A0A0G2JM95;A0A0G2JLX9;A0A0G2JMJ0;A0A0G2JMY9;Q6PI73-2;Q8N6C8-2;Q8N6C8;Q8N6C8-3	LILRA6	4.906416331	0.000137737
A0A0J9YW64	Dedicator of cytokinesis protein 11	A0A0J9YW64;A6NIW2;Q5JSL3;A0A0J9YXQ7	DOCK11	7.570261317	1.48e-06
A0A0J9YXM6	WD repeat-containing protein 81	A0A0J9YXM6;Q562E7-4;Q562E7	WDR81	2.518674787	0.011913906
A0A0U1RQT8	CD99 antigen-like protein 2	A0A0U1RQT8;Q8TCZ2-6;Q8TCZ2-3;Q8TCZ2-2;Q8TCZ2;Q8TCZ2-5	CD99L2	1.89473421	0.038614469
A0A0U1RR39	E3 ubiquitin-protein ligase CBL	A0A0U1RR39;A0A0U1RQX8;P22681;A0A1B0GW38	CBL	3.363329179	0.002504207
A0A1W2PR11	HLA class I histocompatibility antigen, Cw-6 alpha chain	A0A1W2PR11;A0A140T962;A0A140T9J9;A0A140T9B3;Q29963;A0A1W2PRX1;A0A1W2PP77;A0A140TA05;A0A140T9L3;A0A140T9E1;A0A140T942;F8W9Z8;A0A140TA12;A0A140T9Z7	HLA-C	1.0501807	0.176720351
A0A1B0GTI1		A0A1B0GTI1		7.59079746	1.46e-06
A0A1B0GTW1	Tight junction protein ZO-2	A0A1B0GTW1;Q9UDY2-3;Q9UDY2;Q9UDY2-7;Q9UDY2-5;Q9UDY2-4;Q9UDY2-2;Q9UDY2-6	TJP2	0.243521078	0.690182424
F8W787	Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain	F8W787;F8WD96;C9JH19;H7C469;A0A1B0GW44;A0A1B0GVP3;A0A1B0GV23;A0A1B0GVD5;A0A1B0GWE8;A0A1B0GU92;A0A1B0GU03;P07339	CTSD	3.436438133	0.002185606
A0A1B0GW72	Pleckstrin homology domain-containing family G member 4B	A0A1B0GW72;Q96PX9	PLEKHG4B	0.028118974	0.966231692
A0A1B0GXI6	Vacuolar protein sorting-associated protein 45	A0A1B0GXI6;Q9NRW7-2	VPS45	1.414151651	0.093561469
I3L1K6	Myosin light chain 4	I3L1K6;A0A1C7CYY4;P12829;I3L3U1;I3L532;I3L4B1;I3L1R3	MYL4	4.118857024	0.000621081
A0A1W2PNR9	Immediate early response 3-interacting protein 1	A0A1W2PNR9;Q9Y5U9	IER3IP1	2.132037445	0.02446732
F8VYC4	RANBP2-like and GRIP domain-containing protein 1;RANBP2-like and GRIP domain-containing protein 2	F8VYC4;A0A1W2PNU4;P0DJD0;P0DJD1;J3KQ37;Q99666;O14715	RGPD1	4.772899421	0.000179603
A0A1W2PNX8	Protein unc-45 homolog A	A0A1W2PNX8;Q9H3U1-2;Q9H3U1;Q9H3U1-3	UNC45A	2.042451063	0.029125663
A0A1W2PQ37	NAD-dependent malic enzyme, mitochondrial	A0A1W2PQ37;A0A1W2PQF8;A0A1W2PR68;A0A1W2PQT3;A0A1W2PPH1;A0A1W2PQH3;A0A1W2PQY8;P23368-2;P23368;A0A1W2PPY2;A0A1W2PRS2;A0A1W2PRY9;A0A1W2PQH4	ME2	2.553200845	0.011172343
A0A1W2PPK0		A0A1W2PPK0		1.388098712	0.097392382
A0A1W2PQB1	Low affinity immunoglobulin gamma Fc region receptor III-A	A0A1W2PQB1;H0Y755;M9MML0;P08637;C9JC71	FCGR3A	2.432205746	0.014111911
D6RB49	Death domain-containing protein 1	D6RB49;A0A1W2PR94;Q6ZMT9	DTHD1	0.674908921	0.344653553
A0A1W2PS24	HLA class I histocompatibility antigen, A-3 alpha chain	A0A1W2PS24;Q5SRN5;P04439;Q5SRN7	HLA-A	2.084998607	0.026833489
A2A274	Aconitate hydratase, mitochondrial	A2A274;Q99798	ACO2	3.889760022	0.00093888
H0Y5G7	Neuroblastoma-amplified sequence	H0Y5G7;A2RRP1-2;A2RRP1;H7BZU5;C9JCM7;H7C007	NBAS	2.561474856	0.011034099
A6NC05	Glutaredoxin-like protein C5orf63	A6NC05	C5orf63	3.015529425	0.004653134
A6NC48	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	A6NC48;Q10588;Q10588-2;H0Y984;H0Y8G4;H0Y9Q9	BST1	4.218282637	0.000518127
A6NG10	WW domain-binding protein 2	A6NG10;K7EMC9;Q969T9;K7EIJ0;B4DFG2;K7ENL2;K7EIN1;K7ESN4;K7EIK1	WBP2	4.487672113	0.000308558
A6NGH7	Coiled-coil domain-containing protein 160	A6NGH7	CCDC160	8.210351292	4.88e-07
A8MVU1	Putative neutrophil cytosol factor 1C;Neutrophil cytosol factor 1;Putative neutrophil cytosol factor 1B	A8MVU1;P14598;A6NI72	NCF1C	1.477439774	0.083547518
E9PD41	T-cell surface glycoprotein CD8 beta chain;Putative T-cell surface glycoprotein CD8 beta-2 chain	E9PD41;P10966-7;P10966-9;P10966-8;P10966;A6NJW9;P10966-3;P10966-2;P10966-6;P10966-4	CD8B	0.752758081	0.302404034
F6WIT2	Serine/threonine-protein phosphatase 2A activator	F6WIT2;A6PVN5;Q15257-3;Q15257-2;Q15257;A6PVN9;Q15257-4;H0Y6E5;B7ZBQ0;Q68CR8;H0Y562;B7ZBP9;B7ZBP7;A6PVN8;C9IZ76;B4DDQ6;A6PVN6;Q5T949;Q5T948	PPP2R4	2.180175907	0.022527642
H7C2D6	Mesencephalic astrocyte-derived neurotrophic factor	H7C2D6;A8K878;P55145	MANF	1.85336586	0.041300529
A8MT72	Reticulon;Reticulon-1	A8MT72;Q2NKQ5;Q16799-3;Q16799-2;Q16799	RTN1	2.112656915	0.025359651
A8MUD9	60S ribosomal protein L7	A8MUD9;P18124	RPL7	0.388240917	0.545677916
A8MUH2	ATP synthase-coupling factor 6, mitochondrial	A8MUH2;P18859;P18859-2	ATP5J	3.981197589	0.000803581
A8MVS5	Protein HIDE1	A8MVS5	HIDE1	3.692643379	0.001399789
B0I1T2	Unconventional myosin-Ig;Minor histocompatibility antigen HA-2	B0I1T2;B0I1T2-4;B0I1T2-3;F8WEW9;B0I1T2-2	MYO1G	2.249756782	0.019972655
B0QZ18	Copine-1	B0QZ18;Q99829;F2Z2V0;A6PVH9;H0Y524;Q5JX45;E7ENH5;Q5JX58;Q5JX59;Q5JX61;Q5JX60;Q5JX44;Q5JX52;Q5JX56;Q5JX53;Q5JX54;Q5JX57;E7EV27;Q5JX55	CPNE1	5.58483831	4.2e-05
B1ALD9	Periostin	B1ALD9;Q15063-7;Q15063-6;Q15063-4;Q15063-2;Q15063-3;Q15063-5;Q15063;CON__Q2KJC7	POSTN	3.718661019	0.001338676
B1ALM3	Voltage-dependent L-type calcium channel subunit alpha-1S	B1ALM3;Q13698	CACNA1S	5.918729725	2.36e-05
B1ALM5	Transmembrane protein 9	B1ALM5;Q9P0T7;B1ALM7;B1ALM8;B1ALM4	TMEM9	3.780423964	0.001170217
B1AMW1	Lymphocyte function-associated antigen 3	B1AMW1;P19256-2;P19256-3;P19256;H0YDI1	CD58	2.066484128	0.027952072
H3BS66	Small integral membrane protein 1	H3BS66;B2RUZ4	SMIM1	2.49999446	0.012331009
B3KVN2	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	B3KVN2;P49354-2;P49354	FNTA	0.971998242	0.202531741
E7ETE2	Histidine--tRNA ligase, cytoplasmic	E7ETE2;B4E1C5;B4DDD8;B3KWE1;P12081-3;P12081-2;P12081-4;P12081	HARS	0.445911117	0.497124302
Q9UHW9	Solute carrier family 12 member 6	H0YNJ5;H0YMQ9;H0YKQ8;B3KXX3;Q9UHW9-6;Q9UHW9-5;Q9UHW9-2;Q9UHW9-3;Q9UHW9-4;Q9UHW9	SLC12A6	0.015007603	0.981667329
H0YD04	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial	H0YD04;B4DE93;G3V0I5;P49821-2;P49821	NDUFV1	2.483783804	0.012745395
B4DGG1	Protein ITFG3	B4DGG1;Q9H0X4-2;Q9H0X4	ITFG3	2.580186385	0.010686747
B4E009	Early activation antigen CD69	B4E009;Q07108	CD69	2.757453548	0.007507417
B4E0Y9	Serine/threonine-protein kinase 26	B4E0Y9;Q9P289;Q8NBY1;Q9P289-3;Q9P289-2;C9JDH9	STK26	8.098101486	5.38e-07
B5MCD7	Synaptogyrin-1	B5MCD7;O43759-2;O43759;A2A283;F8WCE4;O43759-3	SYNGR1	1.448469959	0.087977679
B5MCP9	40S ribosomal protein S7	B5MCP9;P62081	RPS7	6.321454176	1.16e-05
B7Z2R2	Cytochrome b-c1 complex subunit 7	B7Z2R2;P14927;P14927-2;E5RHG9	UQCRB	6.017061115	1.99e-05
B7Z9I1	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	B7Z9I1;Q5T4U5;P11310;P11310-2	ACADM	4.867079615	0.00014973
B7ZKW8	CapZ-interacting protein	B7ZKW8;Q6JBY9;Q6JBY9-2	RCSD1	1.998825896	0.031645229
C9J3L8	Translocon-associated protein subunit alpha	C9J3L8;C9J5W0;E9PAL7;C9IZQ1;P43307;P43307-2;C9JY01;C9JBX5	SSR1	3.580645548	0.001684015
C9J060	E3 ubiquitin-protein ligase TRIM22	C9J060;C9JIU5;C9JWC5;Q8IYM9-2;Q8IYM9	TRIM22	2.817494616	0.006712206
C9J7B7	26S proteasome non-ATPase regulatory subunit 6	C9J7B7;C9J0E9;Q15008-3;Q15008-2;Q15008;Q15008-4	PSMD6	0.162962197	0.788443945
H7C0J9	Pleckstrin homology domain-containing family M member 3	H7C0J9;C9J119;Q6ZWE6-3;Q6ZWE6-2;Q6ZWE6	PLEKHM3	0.558522	0.414992033
C9J177	Protein phosphatase 1 regulatory subunit 7	C9J177;H7C003;Q15435-2;Q15435;B5MBZ8;C9JD73;Q15435-5;Q15435-4;Q15435-3;H7C3Q5;H7C118	PPP1R7	1.112760528	0.158531546
C9J6P4	Zinc finger CCCH-type antiviral protein 1	C9J6P4;Q7Z2W4-3;Q7Z2W4-2;Q7Z2W4	ZC3HAV1	0.05010799	0.935734976
C9J7K9	Phospholipid scramblase 1	C9J7K9;O15162-2;O15162;H7C5I5;C9J9P4;C9J0H3;C9JE06	PLSCR1	1.943558347	0.035327548
C9J9W2	LIM and SH3 domain protein 1	C9J9W2;Q14847;Q14847-2;Q14847-3;F6S2S5;J3KSN1	LASP1	0.459146499	0.486565493
E9PPU6	N-acetyl-D-glucosamine kinase	E9PPU6;H7C286;C9JEV6;H7C3G9;Q9UJ70;Q9UJ70-2	NAGK	2.773688556	0.007300828
C9JJT5	ATP synthase subunit f, mitochondrial	C9JJT5;C9JU26;G3V325;P56134-4;P56134-3;P56134-2;P56134	ATP5J2-PTCD1	5.738768663	3.23e-05
C9JRZ6	MICOS complex subunit MIC19	C9JRZ6;Q9NX63;F8WAR4;F8WD73	CHCHD3	4.943549863	0.00012801
C9JVE2	DCN1-like protein;DCN1-like protein 1	C9JVE2;Q96GG9;C9JRU6;C9JRE2;C9J0B2;C9JUW4;C9J8R4;C9JAV2;H7C216;Q6PH85-2;Q6PH85	DCUN1D1	1.725619958	0.053022167
C9JW96	Prohibitin	C9JW96;P35232;C9JZ20;E7ESE2;E9PCW0;P35232-2;D6RBK0	PHB	3.630813752	0.001560751
C9JZR2	Catenin delta-1	C9JZR2;O60716-24;O60716-23;O60716-21;O60716-19;O60716-22;O60716-20;O60716-16;O60716-18;O60716-15;O60716-17;O60716-13;O60716-11;O60716-14;O60716-12;O60716-10;O60716-8;O60716-9;O60716-7;O60716-5;O60716-3;O60716-6;O60716-4;O60716-2;O60716;O60716-32;O60716-31;O60716-29;O60716-27;O60716-30;O60716-28;O60716-26;O60716-25;H0YC95	CTNND1	2.149898665	0.023703495
D3DSM0	Integrin beta	D3DSM0;E5RHE6;E5RK54;E5RIG7;E5RK25	ITGB2	4.798121393	0.000170506
D6R9Z7	Cytochrome c oxidase subunit 7C, mitochondrial	D6R9Z7;P15954	COX7C	3.310048615	0.002760952
D6RA03	Regulating synaptic membrane exocytosis protein 2	D6RA03;E5RI36;F8W6W8;Q9UQ26-7;Q9UQ26-3;Q9UQ26-1;Q9UQ26-8;Q9UQ26	RIMS2	NA	NA
D6RAM3	Docking protein 3	D6RAM3;Q7L591;D6R951;D6R977;D6RC22;Q7L591-3;D6RAV2	DOK3	2.580291359	0.010686747
D6RAN4	60S ribosomal protein L9	D6RAN4;P32969;H0Y9R4;E7ESE0;H0Y9V9	RPL9	3.07652462	0.00421771
