Protein IDs	protein names	Gene names SINGLE	ENSG	ENSP	logP	q-value
A0A087WU31;A0A0A0MTB7;P51790-4;P51790-5;P51790;E9PE15;H0Y8Z8	Chloride channel protein;H(+)/Cl(-) exchange transporter 3	CLCN3	ENSG00000109572	ENSP00000261514;ENSP00000353857;ENSP00000422678;ENSP00000424540;ENSP00000424603;ENSP00000425160;ENSP00000425323;ENSP00000425823;ENSP00000478336	3.655197874	0.001503063
J3KNQ3;A0A087WUL9;Q9UNM6;E9PL38;Q9UNM6-2;E9PQG3;H0YD73;E9PPD2;F8W8J6	26S proteasome non-ATPase regulatory subunit 13	PSMD13	ENSG00000185627	ENSP00000333811;ENSP00000372117;ENSP00000396937;ENSP00000433115;ENSP00000433364;ENSP00000434587;ENSP00000436186;ENSP00000436795;ENSP00000478756	4.212561146	0.000520119
F8W7C6;A0A087WV22;X1WI28;P27635	60S ribosomal protein L10	RPL10	ENSG00000147403	ENSP00000341730;ENSP00000358832;ENSP00000385621;ENSP00000388600;ENSP00000395025;ENSP00000398047;ENSP00000405064;ENSP00000406125;ENSP00000407754;ENSP00000413436;ENSP00000479103	3.827752531	0.001065918
A0A087WV69;P56645;P56645-2	Period circadian protein homolog 3	PER3	ENSG00000049246	ENSP00000355031;ENSP00000366755;ENSP00000366764;ENSP00000479223;ENSP00000482093	5.204864383	8.23E-05
B4DQ48;K7EK53;K7EQM4;A0A087WVB9;Q9UBQ5-2;Q9UBQ5	Eukaryotic translation initiation factor 3 subunit K	EIF3K	ENSG00000178982	ENSP00000248342;ENSP00000438145;ENSP00000440999;ENSP00000465460;ENSP00000467895;ENSP00000468231;ENSP00000468525;ENSP00000479334	1.61986748	0.06416458
A0A087WVM2;Q8N6Q3;Q8N6Q3-2	CD177 antigen	CD177	ENSG00000204936	ENSP00000367251;ENSP00000479536;ENSP00000483817	2.051023914	0.028657453
A0A087WWC6;P01848	T-cell receptor alpha chain C region	TRAC	ENSG00000277734	ENSP00000479611;ENSP00000480116;ENSP00000480212;ENSP00000481350;ENSP00000482550	4.019148919	0.000757588
K7EJ99;A0A0A0MSV7;K7EJM5;A0A087WX29;A0A1W2PNU8;K7EN94;B1AKP7;G3V162;A0A087X260;A0A087WYY0;Q13148	TAR DNA-binding protein 43	TARDBP	ENSG00000120948;ENSG00000120948;ENSG00000277726	ENSP00000240185;ENSP00000313129;ENSP00000404666;ENSP00000465080;ENSP00000465240;ENSP00000465888;ENSP00000466842;ENSP00000477852;ENSP00000479219;ENSP00000479758;ENSP00000479978;ENSP00000480690;ENSP00000480771;ENSP00000481206;ENSP00000481330;ENSP00000482191;ENSP00000482559;ENSP00000482754;ENSP00000484722;ENSP00000432132;ENSP00000467020;ENSP00000480398;ENSP00000481867;ENSP00000486989	3.375729975	0.002465015
A0A087WX84;A0A0A0MRE9;A0A0A0MRF6;Q99996-4;Q99996-5;Q99996-3;Q99996-2;Q99996;Q99996-6	A-kinase anchor protein 9	AKAP9	ENSG00000127914	ENSP00000348573;ENSP00000350813;ENSP00000351922;ENSP00000378042;ENSP00000378065;ENSP00000391704;ENSP00000406937;ENSP00000480807	5.010336943	0.000113746
C9J6X0;A0A087WXC5;E7ESZ7;O95299;O95299-2;H7C2W5;H7C1Y7;H7C2X4;Q8N1B9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	ENSG00000130414;ENSG00000281434;ENSG00000130414	ENSP00000252711;ENSP00000302321;ENSP00000486639;ENSP00000487517;ENSP00000383975;ENSP00000385697;ENSP00000388413;ENSP00000403080;ENSP00000408055;ENSP00000408224;ENSP00000411527;ENSP00000480897	3.885385952	0.000944605
A0A087WXR5;A0A087X1G1;H7BYD0;Q16718-2;Q16718	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	NDUFA5	ENSG00000128609	ENSP00000347988;ENSP00000368072;ENSP00000417142;ENSP00000417331;ENSP00000418633;ENSP00000481232;ENSP00000484180	7.068992072	2.99E-06
A0A087WY36;A8MYJ1		AKAP13	ENSG00000170776	ENSP00000354718;ENSP00000378018;ENSP00000378026;ENSP00000452622;ENSP00000452698;ENSP00000453205;ENSP00000453620;ENSP00000453634;ENSP00000453768;ENSP00000477780;ENSP00000480789;ENSP00000481485;ENSP00000482058;ENSP00000483091	7.18644343	2.49E-06
A0A087WY55;Q9NP79;Q5TGM0;Q9NP79-2	Vacuolar protein sorting-associated protein VTA1 homolog	VTA1	ENSG00000009844	ENSP00000356593;ENSP00000356602;ENSP00000395767;ENSP00000481525	5.313043722	6.81E-05
A0A087WY61;Q14980-5;Q14980-4;Q14980-3;Q14980-2;Q14980;K4DIE0;F5H6Y5;F5H4J1;H0YFY6	Nuclear mitotic apparatus protein 1	NUMA1	ENSG00000137497	ENSP00000260051;ENSP00000351851;ENSP00000357955;ENSP00000377298;ENSP00000438318;ENSP00000438331;ENSP00000438589;ENSP00000438821;ENSP00000439092;ENSP00000439576;ENSP00000439759;ENSP00000440954;ENSP00000441598;ENSP00000441674;ENSP00000442331;ENSP00000442761;ENSP00000442936;ENSP00000444175;ENSP00000444831;ENSP00000444880;ENSP00000446396;ENSP00000478624;ENSP00000480172;ENSP00000481541	2.548597872	0.011266678
A0A087WY71;E9PFW3;Q96CW1-2;Q96CW1;C9JJ47;C9JTK4;C9JGT8;C9JJD3;C9JPV8;H7C4C3	AP-2 complex subunit mu	AP2M1	ENSG00000161203	ENSP00000292807;ENSP00000371894;ENSP00000395438;ENSP00000402051;ENSP00000402592;ENSP00000403362;ENSP00000404031;ENSP00000404326;ENSP00000409081;ENSP00000416688;ENSP00000481563	2.763812886	0.00743335
A0A087WYB4;Q9UJZ1-2;Q9UJZ1;F2Z2I8	Stomatin-like protein 2, mitochondrial	STOML2	ENSG00000165283	ENSP00000348886;ENSP00000395743;ENSP00000434531;ENSP00000481672	1.780126419	0.047653441
A0A087WYM5;Q9BVV6-4;Q9BVV6;Q9BVV6-3	Protein TALPID3	KIAA0586	ENSG00000100578	ENSP00000261244;ENSP00000346359;ENSP00000399427;ENSP00000450855;ENSP00000451356;ENSP00000451831;ENSP00000452351;ENSP00000452536;ENSP00000478083;ENSP00000481936	4.528482222	0.00028686
A0A087WYR3;O43399-2;O43399-4;O43399;O43399-3;O43399-5;O43399-7;A0A087WZ51;O43399-6	Tumor protein D54	TPD52L2	ENSG00000101150	ENSP00000217121;ENSP00000340006;ENSP00000343547;ENSP00000343554;ENSP00000344647;ENSP00000351350;ENSP00000358943;ENSP00000482024;ENSP00000482370	0.064753485	0.918660563
D6RJI3;A0A087WYV8;P35556-2;P35556	Fibrillin-2	FBN2	ENSG00000138829	ENSP00000262464;ENSP00000424571;ENSP00000424753;ENSP00000425596;ENSP00000426839;ENSP00000479157;ENSP00000482132	0.401615688	0.535404859
J3QR89;A0A087WYW6;Q96A33-2;Q96A33	Coiled-coil domain-containing protein 47	CCDC47	ENSG00000108588;ENSG00000125695	ENSP00000225726;ENSP00000384888;ENSP00000462202;ENSP00000463577;ENSP00000482148;ENSP00000464100	3.198233964	0.003363426
C9JUT4;A0A087WZF1;Q93052;C9JE51;C9J2R5;C9JIY7;C9JT42;C9J3U9;C9J1K7;C9J5C8;C9J4E3;C9JXK9	Lipoma-preferred partner	LPP	ENSG00000145012	ENSP00000392667;ENSP00000393008;ENSP00000393602;ENSP00000394257;ENSP00000397017;ENSP00000397166;ENSP00000403825;ENSP00000404679;ENSP00000405138;ENSP00000410340;ENSP00000478901;ENSP00000482617	1.65307515	0.060598006
A0A087WZR4;H0Y4U3;M9MML6;O75015;E9PNY5;A0A087WU90	Low affinity immunoglobulin gamma Fc region receptor III-B	FCGR3B	ENSG00000162747	ENSP00000294800;ENSP00000356941;ENSP00000394204;ENSP00000433642;ENSP00000437084;ENSP00000478466;ENSP00000482838	5.458970935	5.15E-05
A0A087X054;Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2;Q9Y4L1-2	Hypoxia up-regulated protein 1	HYOU1	ENSG00000149428;ENSG00000280682;ENSG00000149428	ENSP00000480150;ENSP00000486825;ENSP00000431874;ENSP00000442727;ENSP00000462951;ENSP00000463318;ENSP00000463515;ENSP00000463742;ENSP00000464026;ENSP00000467866;ENSP00000479845;ENSP00000480248;ENSP00000482199;ENSP00000483106;ENSP00000484186;ENSP00000484622	5.189539928	8.41E-05
A0A087X0S5;P12109	Collagen alpha-1(VI) chain	COL6A1	ENSG00000142156	ENSP00000355180;ENSP00000483630	0.929822214	0.219749945
A0A087X1S7;P09326;P09326-2	CD48 antigen	CD48	ENSG00000117091	ENSP00000357024;ENSP00000357025;ENSP00000484431	0.703826282	0.328918949
A0A087X296;P23219-3;P23219-2;P23219;P23219-6;P23219-5;P23219-4;X6RJD6	Prostaglandin G/H synthase 1	PTGS1	ENSG00000095303	ENSP00000223423;ENSP00000354612;ENSP00000362802;ENSP00000411606;ENSP00000437709;ENSP00000483540;ENSP00000484800	2.233166607	0.020589832
A0A087X2I1;P62333;H0YJC0;H0YJX2;H0YJS8	26S protease regulatory subunit 10B	PSMC6	ENSG00000100519	ENSP00000401802;ENSP00000451156;ENSP00000451241;ENSP00000451340;ENSP00000452048;ENSP00000452072;ENSP00000452253;ENSP00000452388;ENSP00000452511;ENSP00000475721;ENSP00000484998	2.353284536	0.016308733
A0A0B4J2H4;H7C1F6;A0A0B4J2D5;A0A096LPI6;P30042-2;P30042;A0A096LNJ1;A0A096LP73;A0A096LNH5;H7C2G3;F2Z2Q0;A0A096LP12	ES1 protein homolog, mitochondrial	C21orf33	ENSG00000160221;ENSG00000280071;ENSG00000276612	ENSP00000291577;ENSP00000344901;ENSP00000374340;ENSP00000396655;ENSP00000400044;ENSP00000405713;ENSP00000480313;ENSP00000483086;ENSP00000485058;ENSP00000485300;ENSP00000485335;ENSP00000485404;ENSP00000485439;ENSP00000485630	5.866299824	2.55E-05
A0A0A0MQS8;Q02094;A0A087WZZ4;Q02094-2	Ammonium transporter Rh type A	RHAG	ENSG00000112077	ENSP00000229810;ENSP00000360217;ENSP00000482984	2.206202781	0.021540535
A0A0A0MRJ7;P12259	Coagulation factor V;Coagulation factor V heavy chain;Coagulation factor V light chain	F5	ENSG00000198734	ENSP00000356770;ENSP00000356771	1.352147673	0.103239575
A0A0A0MRM8;A0A0D9SGC1;E7EW20;Q9UM54-5;Q9UM54-2;Q9UM54-6;Q9UM54-4;Q9UM54-1;Q9UM54	Unconventional myosin-VI	MYO6	ENSG00000196586	ENSP00000358992;ENSP00000358994;ENSP00000358998;ENSP00000359002;ENSP00000399406;ENSP00000478013;ENSP00000487348	5.236593918	7.82E-05
A0A0A0MSE2;A0A0D9SFP2;E9PF18;Q16836;Q16836-3;Q16836-2;A0A1W2PNM1;A0A1W2PQV5;A0A1W2PQC2;A0A1W2PQ78;A0A1W2PRT2;A0A1W2PQ55;A0A1W2PP40	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	HADH	ENSG00000138796	ENSP00000312288;ENSP00000385638;ENSP00000425254;ENSP00000425952;ENSP00000474560;ENSP00000486771	3.337970293	0.002621495
X6R433;A0A0A0MT22;P08575-2;P08575;M3ZCP1;A0A075B788;E9PKH0;A0A140TA77;A0A140TA68;A0A0G2JNW2;A0A140TA57;M9MMK9	Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase C	PTPRC	ENSG00000081237;ENSG00000262418;ENSG00000081237	ENSP00000356346;ENSP00000458322;ENSP00000461074;ENSP00000471843;ENSP00000306782;ENSP00000356334;ENSP00000356337;ENSP00000356349;ENSP00000393360;ENSP00000405494;ENSP00000411355;ENSP00000433536;ENSP00000469141	3.173199667	0.003501748
H7C4G6;A0A0A0MT83;P26440-2;P26440;H0YN10;A0A087WVD3;H0YLC3	Isovaleryl-CoA dehydrogenase, mitochondrial	IVD	ENSG00000128928	ENSP00000417256;ENSP00000417990;ENSP00000418397;ENSP00000452949;ENSP00000453146;ENSP00000453821;ENSP00000453929;ENSP00000454145;ENSP00000479359	3.797685591	0.001133403
A0A0A0MTN3;P21266	Glutathione S-transferase Mu 3	GSTM3	ENSG00000134202	ENSP00000256594;ENSP00000354357;ENSP00000444978	5.136208104	8.93E-05
A0A0A0MTS2;P06744;P06744-2;K7EQ48;A0A0J9YXP8;A0A0J9YYH3;A0A0J9YX90;K7EPY4;K7EP41;CON__Q3ZBD7;K7ELR7;K7ENA0;K7ERC6;K7ERK8;K7EIL4;K7ESF4;Q8N196	Glucose-6-phosphate isomerase	GPI	ENSG00000177045;ENSG00000105220;ENSG00000266953	ENSP00000316842;ENSP00000453189;ENSP00000453239;ENSP00000481365;ENSP00000348877;ENSP00000405573;ENSP00000464797;ENSP00000465858;ENSP00000466191;ENSP00000466851;ENSP00000467221;ENSP00000467590;ENSP00000467670;ENSP00000468201;ENSP00000468298;ENSP00000468690;ENSP00000475682	3.787872657	0.001154793
A0A0A0MTS7;Q8WZ42-5;Q8WZ42-11;Q8WZ42-4;Q8WZ42-7;Q8WZ42-2;Q8WZ42;Q8WZ42-8;Q8WZ42-13;Q8WZ42-12;A0A0A0MRA3;Q8WZ42-3;Q8WZ42-10;Q8WZ42-9	Titin	TTN	ENSG00000155657	ENSP00000340554;ENSP00000343764;ENSP00000352154;ENSP00000354117;ENSP00000392336;ENSP00000394672;ENSP00000396805;ENSP00000399176;ENSP00000401501;ENSP00000405517;ENSP00000408004;ENSP00000434586;ENSP00000465570;ENSP00000467141;ENSP00000483597	0.811813828	0.272794092
A0A0A6YYL4;P57737-4;P57737;P57737-3;P57737-2;I3L167;E7EP81;I3L351;I3L0X8;I3L212;I3L426	Coronin;Coronin-7	CORO7-PAM16	ENSG00000262246;ENSG00000103426	ENSP00000251166;ENSP00000440460;ENSP00000458411;ENSP00000458459;ENSP00000458828;ENSP00000458935;ENSP00000459085;ENSP00000459228;ENSP00000459286;ENSP00000459401;ENSP00000459888;ENSP00000460036;ENSP00000460177;ENSP00000460199;ENSP00000460901;ENSP00000460910;ENSP00000460956;ENSP00000461051;ENSP00000461187;ENSP00000461702;ENSP00000461797;ENSP00000458607;ENSP00000460885	5.507133831	4.68E-05
Q5W0H4;A0A0B4J2C3;P13693	Translationally-controlled tumor protein	TPT1	ENSG00000133112	ENSP00000339051;ENSP00000368344;ENSP00000368345;ENSP00000368350;ENSP00000431872;ENSP00000432457;ENSP00000433091;ENSP00000433738;ENSP00000477781	0.161075348	0.790880196
P0DP09;A0A0B4J2D9		IGKV1D-13	ENSG00000276566	ENSP00000480959	5.167857292	8.65E-05
A0A0B4J2E8;Q96D31-2;Q96D31	Calcium release-activated calcium channel protein 1	ORAI1	ENSG00000276045	ENSP00000477953;ENSP00000480616;ENSP00000482568	0.554828556	0.418083187
G5E963;A0A1B0GUZ3;A0A0C4DFR1;O75069-3;O75069-5;O75069-2;O75069;O75069-4	Transmembrane and coiled-coil domains protein 2	TMCC2	ENSG00000133069	ENSP00000329436;ENSP00000331842;ENSP00000350718;ENSP00000356127;ENSP00000437943	3.996116879	0.000785194
E7EQD7;A0A0C4DFT3;Q12959-5;Q12959-3;Q12959-6;Q12959-4;Q12959;Q12959-7;Q12959-2;C9JUA9;C9JN61;C9JCP6;A8MUT6;B4E2H8;Q12959-8;Q12959-9	Disks large homolog 1	DLG1	ENSG00000075711	ENSP00000345731;ENSP00000350303;ENSP00000376185;ENSP00000376186;ENSP00000376187;ENSP00000390403;ENSP00000391732;ENSP00000393771;ENSP00000396474;ENSP00000396658;ENSP00000396768;ENSP00000398702;ENSP00000398939;ENSP00000400169;ENSP00000407531;ENSP00000411278;ENSP00000412579;ENSP00000413238;ENSP00000414189	1.948107932	0.035078915
A0A0C4DFU2;P04179;P04179-4;F5H4R2;A0A0C4DFU1;F5GYZ5;P04179-2;F5H3C5;A0A0C4DG56;P04179-3;G8JLJ2;G5E9P6;F5GXZ9	Superoxide dismutase;Superoxide dismutase [Mn], mitochondrial	SOD2	ENSG00000112096	ENSP00000337127;ENSP00000356021;ENSP00000356022;ENSP00000384196;ENSP00000404804;ENSP00000406713;ENSP00000439191;ENSP00000440131;ENSP00000441362;ENSP00000442920;ENSP00000445015;ENSP00000446252	2.883090014	0.005914457
A0A0C4DFY0;Q14242;Q14242-2	P-selectin glycoprotein ligand 1	SELPLG	ENSG00000110876	ENSP00000228463;ENSP00000373614;ENSP00000447752	1.300613346	0.112654379
A0A0C4DGI3;B4DJV2;O75390;H0YIC4;F8VPF9;F8VPA1;F8W1S4;H0YH82;F8VRP1;F8VX68;F8VRI6;F8VZK9;F8VX07;F8W4S1;F8W642;F8VWQ5;F8VR34;F8VTT8	Citrate synthase;Citrate synthase, mitochondrial	CS	ENSG00000062485	ENSP00000342056;ENSP00000440543;ENSP00000446492;ENSP00000446779;ENSP00000447346;ENSP00000447442;ENSP00000447582;ENSP00000447948;ENSP00000447986;ENSP00000448166;ENSP00000448172;ENSP00000448409;ENSP00000448667;ENSP00000449025;ENSP00000449080;ENSP00000449427;ENSP00000449491;ENSP00000449571;ENSP00000449753;ENSP00000450101;ENSP00000450312;ENSP00000450403	3.489739811	0.002005501
A0A0C4DGX8;Q15904;A6NLC6	V-type proton ATPase subunit S1	ATP6AP1	ENSG00000071553	ENSP00000358777;ENSP00000392375;ENSP00000396643;ENSP00000398511;ENSP00000408317;ENSP00000408470;ENSP00000411209;ENSP00000482243	5.726496286	3.29E-05
A0A0C4DH67;A0A0C4DH69		IGKV1-8	ENSG00000240671;ENSG00000241755	ENSP00000419211;ENSP00000480537;ENSP00000419598	0.474998437	0.475428106
A0A0C4DH72;P01599;A0A0C4DH24;A0A075B6S4	Ig kappa chain V-I region Gal	IGKV1-6	ENSG00000239855;ENSG00000211611;ENSG00000242766	ENSP00000420361;ENSP00000374791;ENSP00000418292	1.332820927	0.106310449
A0A0C4DH73;P01611;P01601	Ig kappa chain V-I region Wes;Ig kappa chain V-I region HK101	IGKV1-12	ENSG00000243290	ENSP00000420576	2.895470705	0.005791342
M0R2J0;K7ENQ8;G5E9B7;A0A0D9SFG6;Q15438-3;Q15438-2;Q15438;Q99418-2;O43739-2;Q99418;O43739	Cytohesin-1;Cytohesin-2;Cytohesin-3	CYTH2	ENSG00000105443;ENSG00000008256;ENSG00000108669	ENSP00000314566;ENSP00000375753;ENSP00000408236;ENSP00000472602;ENSP00000482082;ENSP00000486578;ENSP00000297044;ENSP00000379967;ENSP00000354398;ENSP00000389095;ENSP00000465252;ENSP00000465530;ENSP00000465665;ENSP00000465940;ENSP00000465945;ENSP00000466512;ENSP00000466949;ENSP00000467052;ENSP00000468433	0.610281117	0.382506095
A0A0D9SFS3;E9PCR7;Q02218;E9PDF2;Q02218-2;E9PFG7;Q02218-3;C9J4G7;Q9ULD0;Q9ULD0-3;Q9ULD0-2	2-oxoglutarate dehydrogenase, mitochondrial	OGDH	ENSG00000105953;ENSG00000197444	ENSP00000222673;ENSP00000388084;ENSP00000388183;ENSP00000392878;ENSP00000398576;ENSP00000411830;ENSP00000414662;ENSP00000486854;ENSP00000363216;ENSP00000390240;ENSP00000401356	6.730628915	5.29E-06
A0A0D9SGF6;Q13813-2;A0A0D9SF54;A0A0D9SFF6;A0A1B0GV13;A0A1B0GTB7;A0A1B0GUH3;A0A0D9SFH4	Spectrin alpha chain, non-erythrocytic 1	SPTAN1	ENSG00000197694	ENSP00000350882;ENSP00000361816;ENSP00000361824;ENSP00000486308;ENSP00000486547;ENSP00000486605;ENSP00000487444	1.199195754	0.135423884
A0A0G2JJD3;O95870;O95870-2;F2Z3H2;A0A0G2JI89	Abhydrolase domain-containing protein 16A	ABHD16A	ENSG00000204427;ENSG00000206403;ENSG00000224552;ENSG00000230475;ENSG00000231488;ENSG00000235676;ENSG00000236063;ENSG00000204427	ENSP00000379282;ENSP00000395665;ENSP00000410347;ENSP00000447498;ENSP00000447549;ENSP00000447846;ENSP00000448431;ENSP00000448451;ENSP00000449579;ENSP00000417566;ENSP00000418170;ENSP00000418331;ENSP00000419742;ENSP00000420585;ENSP00000420628	5.485993362	4.87E-05
C9K0U8;A0A0G2JLD8;E7EUY5;Q04837	Single-stranded DNA-binding protein, mitochondrial	SSBP1	ENSG00000106028;ENSG00000262771;ENSG00000106028	ENSP00000265304;ENSP00000419388;ENSP00000419541;ENSP00000419665;ENSP00000420485;ENSP00000458815;ENSP00000459208;ENSP00000459367;ENSP00000460028;ENSP00000461884;ENSP00000480488;ENSP00000418068;ENSP00000418181;ENSP00000419579	4.061110995	0.000699988
A0A0G2JNH4;A0A0G2JLU6;P24071-10;P24071;A0A0G2JP11;A0A0G2JNS3;A0A0G2JM27;A0A0G2JPZ4;P24071-5;P24071-4;P24071-11;P24071-2;P24071-6;A0A0G2JPZ0;A0A0G2JM28;A0A0G2JPP7;P24071-7;P24071-9;P24071-3;A0A0G2JM53	Immunoglobulin alpha Fc receptor	FCAR	ENSG00000186431;ENSG00000273738;ENSG00000274580;ENSG00000275136;ENSG00000275269;ENSG00000275564;ENSG00000275970;ENSG00000276858;ENSG00000276985;ENSG00000278415	ENSP00000338058;ENSP00000338257;ENSP00000347714;ENSP00000352218;ENSP00000375603;ENSP00000375604;ENSP00000375605;ENSP00000375606;ENSP00000473814;ENSP00000474512;ENSP00000477584;ENSP00000477610;ENSP00000477643;ENSP00000477656;ENSP00000477673;ENSP00000477966;ENSP00000478075;ENSP00000478163;ENSP00000478233;ENSP00000478315;ENSP00000478454;ENSP00000478465;ENSP00000478634;ENSP00000479039;ENSP00000479099;ENSP00000479230;ENSP00000479239;ENSP00000479360;ENSP00000479688;ENSP00000479738;ENSP00000479792;ENSP00000479831;ENSP00000479880;ENSP00000479924;ENSP00000480013;ENSP00000480323;ENSP00000480406;ENSP00000480444;ENSP00000480461;ENSP00000480496;ENSP00000480498;ENSP00000480748;ENSP00000480965;ENSP00000480970;ENSP00000481129;ENSP00000481195;ENSP00000481230;ENSP00000481345;ENSP00000481366;ENSP00000481394;ENSP00000481502;ENSP00000481560;ENSP00000481668;ENSP00000481676;ENSP00000481985;ENSP00000482022;ENSP00000482025;ENSP00000482056;ENSP00000482108;ENSP00000482273;ENSP00000482334;ENSP00000482451;ENSP00000482518;ENSP00000482623;ENSP00000482670;ENSP00000482741;ENSP00000482807;ENSP00000482976;ENSP00000483099;ENSP00000483121;ENSP00000483250;ENSP00000483258;ENSP00000483327;ENSP00000483402;ENSP00000483437;ENSP00000483472;ENSP00000483503;ENSP00000483841;ENSP00000484136;ENSP00000484141;ENSP00000484272;ENSP00000484276;ENSP00000484483;ENSP00000484662;ENSP00000484741;ENSP00000484816;ENSP00000484868;ENSP00000484906;ENSP00000484917	5.217902258	8.07E-05
A0A0G2JNK8;A0A0G2JMI0;A0A0G2JNU6;A0A140T8W3;A0A0G2JQ50;A0A0G2JP18;A0A0G2JLV7;Q6GTX8-3;Q6GTX8-2;Q6GTX8;A0A0G2JM94;A8MZ84;D3YTC8;Q6GTX8-4	Leukocyte-associated immunoglobulin-like receptor 1	LAIR1	ENSG00000167613;ENSG00000274110;ENSG00000276053;ENSG00000276163;ENSG00000278154;ENSG00000167613	ENSP00000301193;ENSP00000375622;ENSP00000418998;ENSP00000478405;ENSP00000478853;ENSP00000479006;ENSP00000479133;ENSP00000479649;ENSP00000479682;ENSP00000479707;ENSP00000480619;ENSP00000480659;ENSP00000481204;ENSP00000482922;ENSP00000375621;ENSP00000375623;ENSP00000391003;ENSP00000392058;ENSP00000399710;ENSP00000411632;ENSP00000412796;ENSP00000483867	3.974887529	0.000810673
